method,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
GreedyMini,0.138843,0.136046,0.130908,0.128096,0.126245,0.123921,0.12255,0.122066,0.121475,0.121342,0.12132,0.119116,0.11747,0.117219,0.117212,0.117212,0.117212,0.117212,0.117212,0.117212,0.117211,0.117211,0.117211,0.117211
decycling,0.150863,0.143956,0.139725,0.136813,0.131427,0.130029,0.128457,0.129615,0.131502,0.133968,0.135796,0.138668,0.141421,0.144207,0.146414,0.14836,0.149707,0.150844,0.151526,0.152147,0.152501,0.152802,0.153064,0.15309
double decycling,0.150863,0.145236,0.139662,0.136416,0.130602,0.127783,0.124486,0.123436,0.122777,0.123231,0.123529,0.124817,0.126045,0.127193,0.128181,0.129025,0.12982,0.130773,0.132067,0.133532,0.135179,0.136918,0.138707,0.140348
miniception,,0.156164,0.153305,0.150888,0.149648,0.14786,0.146575,0.144763,0.144241,0.142532,0.140108,0.137506,0.134639,0.132371,0.130929,0.13082,0.131165,0.131204,0.131252,0.131141,0.131104,0.131199,0.131169,0.131215
mod-minimizer,0.222468,0.156164,0.153305,0.153195,0.153864,0.153858,0.153933,0.153756,0.153765,0.153886,0.153796,0.153884,0.153955,0.121511,0.119785,0.11964,0.119977,0.120005,0.120054,0.119954,0.119966,0.120012,0.120031,0.120023
open-close-syncmer,,0.156164,0.153305,0.144985,0.141185,0.136932,0.133759,0.130181,0.12816,0.12598,0.125277,0.12412,0.123798,0.122991,0.123832,0.124168,0.123925,0.123305,0.122511,0.121404,0.120212,0.118943,0.117467,0.116129
angle-based,0.138389448,0.138322748,0.13622105,0.131920355,0.130427357,0.127735159,0.12729776,0.124170863,0.126251961,0.126314761,0.129144258,0.129649257,0.130976456,0.132425254,0.134162552,0.135662251,0.137075949,,,,,,,
